Subtitle,Subtitle,OFFICIAL HIGE DANDISM,305509,1,76,0.649,0.0313
KICK BACK,KICK BACK,Kenshi Yonezu,193495,1,83,0.577,0.00207
Overdose,Overdose,natori,197093,0,76,0.733,0.0307
ダンスホール,ダンスホール,Mrs. GREEN APPLE,203149,1,72,0.736,0.0209
Ditto,Ditto,NewJeans,185506,0,89,0.814,0.027
Habit,Habit,SEKAI NO OWARI,253153,0,71,0.749,0.203
祝福,祝福,YOASOBI,196235,0,73,0.553,0.0186
新時代,ウタの歌 ONE PIECE FILM RED,Ado,226813,1,70,0.49,0.049
ミックスナッツ,ミックスナッツ,OFFICIAL HIGE DANDISM,213438,1,69,0.542,0.0101
ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,184444,0,85,0.882,0.0821
Soranji,Soranji,Mrs. GREEN APPLE,341443,1,69,0.476,0.0604
本当はね、,本当はね、,ヤングスキニー,201213,1,69,0.59,0.178
もう一度,もう一度,Tani Yuuki,250766,1,69,0.571,0.00408
綺羅キラー,綺羅キラー,ZUTOMAYO,253066,0,70,0.634,0.372
ベテルギウス,壱,Yuuri,230600,1,70,0.367,0.222
色彩,色彩,yama,192175,0,72,0.581,0.176
カメレオン,カメレオン,King Gnu,193990,1,69,0.628,0.643
愛とか恋とか,Assort,Novelbright,232453,1,68,0.697,0.698
なんでもないよ、,ハッピーエンドへの期待は,Macaroni Empitsu,219252,1,68,0.598,0.245
私は最強,ウタの歌 ONE PIECE FILM RED,Ado,257079,1,68,0.577,0.208
トウキョウ・シャンディ・ランデヴ,トウキョウ・シャンディ・ランデヴ,MAISONdes,184766,0,69,0.734,0.0435
CHAINSAW BLOOD,CHAINSAW BLOOD,Vaundy,200997,1,72,0.528,7.38E-05
第ゼロ感,第ゼロ感,10-FEET,287991,1,69,0.431,4.52E-05
grace,grace,Fujii Kaze,289541,1,69,0.668,0.0822
アイラブユー,アイラブユー,back number,235682,1,67,0.468,0.296
ドライフラワー,壱,Yuuri,286360,1,67,0.463,0.495
第ゼロ感,コリンズ,10-FEET,286000,1,67,0.445,2.77E-05
スパークル,スパークル,Lilas Ikuta,213600,1,67,0.614,0.417
SOUVENIR,SOUVENIR,BUMP OF CHICKEN,264126,1,70,0.622,0.0094
逆光,ウタの歌 ONE PIECE FILM RED,Ado,237666,0,66,0.564,0.000387
Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,179026,0,85,0.593,0.268
カナタハルカ,すずめの戸締まり,RADWIMPS,355706,1,65,0.474,0.626
Melody,8LOOM,8LOOM,194752,1,66,0.763,0.281
きらり,Kirari Remixes (Asia Edition),Fujii Kaze,231882,1,69,0.746,0.00803
恋だろ,suits me! suits you!,wacci,283093,1,65,0.599,0.17
酔いどれ知らず,酔いどれ知らず,Kanaria,134869,0,64,0.77,0.143
After LIKE,After LIKE,IVE,176973,1,81,0.68,0.103
Talk that Talk,BETWEEN 1&2,TWICE,177466,0,64,0.774,0.143
恋風邪にのせて,恋風邪にのせて,Vaundy,255914,0,65,0.595,6.40E-05
DOGLAND,DOGLAND,PEOPLE 1,175216,0,67,0.599,0.00494
ベルベットの詩,ベルベットの詩,back number,254160,1,64,0.495,0.00947
ウタカタララバイ,ウタの歌 ONE PIECE FILM RED,Ado,173373,1,64,0.524,0.179
Attention,NewJeans 1st EP 'New Jeans',NewJeans,180066,0,83,0.811,0.236
Under the skin,Under the skin,&TEAM,191973,0,68,0.652,0.000436
CASE 143,MAXIDENT,Stray Kids,191964,0,63,0.801,0.0935
シャッター,壱,Yuuri,248946,1,64,0.606,0.512
スターマイン,イマ,Da-iCE,227662,1,63,0.725,0.295
Stardom,Stardom,King Gnu,217000,1,63,0.59,0.174
Melody,Melody,8LOOM,194752,1,63,0.763,0.281
バニラ,バニラ,Kyanai,251050,1,63,0.641,0.028
